0 106 299 726
1 253 288 675
2 22 288 505
3 72 607 615
4 90 243 275
5 238 275 486
6 50 81 122
7 243 288 375
8 276 288 491
9 81 152 500
10 152 266 605
11 239 548 577
12 61 288 547
13 82 164 243
14 165 241 243
15 285 321 630
16 38 275 439
17 81 82 607
18 288 544 716
19 81 239 288
20 243 275 676
21 46 82
22 229 239 458
23 82 224 679
24 53 288 612
25 81 164 290
26 236 288 467
27 239 292 679
28 243 250 280
29 48 235
30 78 145 239
31 145 276 679
32 239 290 579
33 239 275 499
34 82 276 505
35 505 607 679
36 82 269 270
37 239 243 288
38 243 266 275
39 288 431 439
40 239 675 676
41 82 499 547
42 114 281 500
43 239 243 262
44 239 275 296
45 81 439 649
46 243 525 607
47 239 243 288
48 243 288 694
49 81 191 463
50 81 145 290
51 81 82 351
52 82 122 467
53 264 275 505
54 266 577 694
55 243 266 275
56 81 285 390
57 275 288 369
58 81 288 323
59 500 607 676
60 145 243 661
61 164 208 422
62 81 243 716
63 78 82 239
64 236 266 288
65 264 292 679
66 283 612 721
67 78 163 288
68 82 266 288
69 81 235 243
70 236 239
71 288 463 473
72 224 235 499
73 22 81 243
74 79 152 612
75 60 79 505
76 235 236 505
77 236 239 612
78 81 235 556
79 83 191 243
80 145 288 666
81 239 612 679
82 81 314 688
83 239 260 275
84 122 288 296
85 81 607 679
86 275 276 679
87 164 243 266
88 103 196 315
89 217 239 667
90 82 260 721
91 239 436 716
92 191 235 236
93 18 676 717
94 60 236 288
95 52 290 559
96 82 300 499
97 241 290 310
98 239 243 612
99 85 605 612
100 191 238 458
101 81 607 694
102 191 253
103 107 491 679
104 152 239 641
105 81 499 518
106 102 288 404
107 82 152 243
108 82 285 679
109 236 275 280
110 238 288 544
111 226 285 600
112 122 329 612
113 60 598 604
114 82 152 243
115 81 250
116 81 191 681
117 133 243 285
118 90 351 557
119 2 81 82
120 393 409 607
121 145 191 499
122 81 266 288
123 73 76 437
124 145 288 607
125 81 239 310
126 81 102 285
127 81 285 545
128 81 439
129 82 144 235
130 145 191 266
131 61 275 287
132 81 288 605
133 81 172 290
134 82 239 288
135 102 268 288
136 274 275 675
137 236 239 288
138 122 288 577
139 102 548 559
140 243 499 500
141 288 422 486
142 105 238 375
143 82 243 547
144 285 486 713
145 87 241 243
146 105 275 334
147 81 238 467
148 82 191 375
149 82 91 439
150 82 290 607
151 288 491 577
152 52 239 591
153 234 285 499
154 129 635 717
155 243 439 500
156 243 288 547
157 81 172 275
158 172 243 288
159 81 486 600
160 243 275 290
161 172 290 305
162 81 172 290
163 191 243 547
164 81 191 429
165 288 290 600
166 81 288 365
167 215 241 243
168 82 281 607
169 81 102 287
170 81 236 275
171 243 266 547
172 82 250
173 82 238 547
174 82 275 288
175 145 296 368
176 109 319 713
177 145 275 547
178 288 386 667
179 8 243 724
180 243 275 500
181 82 191 288
182 275 284 392
183 81 102 505
184 103 239 285
185 266 275 725
186 82 114 275
187 165 266 288
188 275 288 491
189 105 281 622
190 320 406 491
191 467 499 579
192 71 288 375
193 427 437 439
194 24 191 681
195 50 82 499
196 32 145 152
197 82 285 288
198 81 82 239
199 83 287 365
200 191 296 547
201 82 375 591
202 280 285 339
203 78 81 82
204 78 275 499
205 145 238 499
206 191 243 499
207 236 369 599
208 105 162 241
209 55 275 393
210 236 239 332
211 52 225 275
212 82 275 436
213 284 338 376
214 98 351 500
215 238 581 711
216 191 285 607
217 152 243 605
218 292 390 607
219 365 366 600
220 81 82 288
221 81 311 605
222 92 152 458
223 78 82 239
224 275 302 557
225 152 283 342
226 82 145 239
227 238 449 510
228 81 243 679
229 82 275 500
230 243 266 547
231 22 191 547
232 286 366 598
233 102 191 605
234 81 243
235 82 500 523
236 76 243 288
237 191 285 369
238 82 243
239 81 288 577
240 81 238 288
241 191 288 295
242 243 287 288
243 82 102 243
244 63 269 271
245 152 191 275
246 152 238 275
247 82 286
248 288 366 547
249 172 525 605
250 83 439 491
251 82 224 491
252 82 243 626
253 114 235 236
254 22 231 439
255 118 238 705
256 82 152 275
257 81 127 323
258 93 239 290
259 82 239 288
260 276 292 491
261 283 288 507
262 47 145 147
263 191 236 600
264 81 82 236
265 152 266 275
266 81 505 509
267 288 535 721
268 82 114 243
269 81 236 239
270 145 288 607
271 288 290 716
272 322 351 494
273 145 547 616
274 250 295 323
275 117 467 473
276 117 288 626
277 105 106 721
278 81 191 500
279 102 344 534
280 285 288 586
281 82 224 679
282 288 290 605
283 235 288 547
284 239 288 499
285 81 239 636
286 81 225 534
287 285 632
288 81 170 520
289 520 636 675
290 36 170 235
291 78 264 500
292 81 491 500
293 145 264 275
294 82 239 323
295 275 288 505
296 81 127 323
297 275 290 706
298 47 82 413
299 275 288 706
300 114 236 675
301 290 486 607
302 82 141 544
303 51 120 235
304 81 290 323
305 81 448 486
306 81 145 264
307 81 276 607
308 224 505 607
309 239 276 292
310 82 224 288
311 81 82 679
312 78 91 302
313 288 607 679
314 36 170 235
315 81 236 636
316 288 630 721
317 235 239 582
318 275 285 467
319 81 90 499
320 160 275 491
321 48 114 275
322 81 82 288
323 58 467 660
324 191 235 236
325 38 191 243
326 81 547 607
327 81 102 534
328 275 285 483
329 152 266 491
330 288 290 358
331 82 266 491
332 239 264 505
333 78 243 523
334 164 285 505
335 130 243 525
336 81 82 275
337 47 239 607
338 81 484 688
339 250 288 679
340 81 82 288
341 437 607 612
342 243 499 500
343 81 238 607
344 82 285 499
345 239 288 338
346 1 215 275
347 193 288 486
348 323 486 706
349 290 559 577
350 323 679 706
351 81 275
352 63 288 547
353 275 463 467
354 82 235 288
355 235 520 636
356 81 239 630
357 275 288 323
358 117 275 676
359 82 288 679
360 238 279 288
361 224 276 679
362 243 266 365
363 191 285 288
364 275 285 607
365 76 191 491
366 534 559
367 243 266 557
368 191 235 505
369 191 243 605
370 82 104 132
371 102 145 607
372 295 500 547
373 239 250 467
374 243 275 459
375 81 236 315
376 105 215 275
377 191 500 607
378 235 236 290
379 82 235 236
380 82 285 554
381 81 105 191
382 241 285 500
383 102 225 591
384 239 275 467
385 285 500 600
386 81 288 467
387 81 288 679
388 456 600 676
389 87 534 548
390 266 486 500
391 81 275 694
392 81 152 476
393 82 152 499
394 22 290 467
395 81 82 236
396 288 338 557
397 191 208 288
398 239 306 491
399 121 500 716
400 243 500 607
401 104 231 236
402 82 288 375
403 81 275 612
404 81 275 305
405 288 290 305
406 81 239
407 288 425 520
408 191 271 272
409 239 284 499
410 236 393 439
411 275 288 290
412 82 499 612
413 172 243 288
414 500 612 696
415 82 243 275
416 52 534 577
417 132 641 660
418 290 451 518
419 243 500 726
420 53 191 329
421 82 152 249
422 82 132 296
423 122 275 605
424 275 607 694
425 238 306 433
426 82 152 281
427 82 165 243
428 351 525 544
429 82 285 694
430 81 288 632
431 275 285 288
432 145 408
433 243 288 548
434 145 238 547
435 82 467 607
436 48 239 285
437 105 288 667
438 81 102 679
439 266 547 607
440 239 275 375
441 81 127 288
442 82 288 290
443 239 253 675
444 285 499 547
445 242 281 577
446 145 236 495
447 239 243 250
448 234 235 290
